model,dataset,metric,value
bnn,train,log_loss,0.046889276507734425
bnn,train,brier,0.012481019885494153
bnn,train,f1,0.9543219733579863
bnn,train,precision,0.9694356697686332
bnn,train,recall,0.9396722939424031
bnn,train,ece,0.0031851201295594257
bnn,val,log_loss,0.03774807232403771
bnn,val,brier,0.010965851851732555
bnn,val,f1,0.9553072625698324
bnn,val,precision,0.9606741573033708
bnn,val,recall,0.95
bnn,val,ece,0.009218001721892506
bnn,test,log_loss,0.046544528291858206
bnn,test,brier,0.012442662908573226
bnn,test,f1,0.954891574242675
bnn,test,precision,0.9694957983193278
bnn,test,recall,0.9407208088714938
bnn,test,ece,0.0031960911506209136
nn,train,log_loss,0.10461461145327251
nn,train,brier,0.02775777164667555
nn,train,f1,0.8754481110396176
nn,train,precision,0.9844945213975604
nn,train,recall,0.7881496193313472
nn,train,ece,0.009679496540043535
nn,val,log_loss,0.09303930144017843
nn,val,brier,0.0244326290512451
nn,val,f1,0.896969696969697
nn,val,precision,0.9866666666666667
nn,val,recall,0.8222222222222222
nn,val,ece,0.010871760000474746
nn,test,log_loss,0.1044450445677461
nn,test,brier,0.027709061591730304
nn,test,f1,0.8757696486780152
nn,test,precision,0.9845276872964169
nn,test,recall,0.7886497064579256
nn,test,ece,0.009679763086022725
calibrated_nn,train,log_loss,0.10128478545051861
calibrated_nn,train,brier,0.02717835951286123
calibrated_nn,train,f1,0.8932697025110388
calibrated_nn,train,precision,0.9687530231208281
calibrated_nn,train,recall,0.8286991062562066
calibrated_nn,train,ece,0.0111068976558098
calibrated_nn,val,log_loss,0.089057743015046
calibrated_nn,val,brier,0.024100770043635443
calibrated_nn,val,f1,0.9112426035502958
calibrated_nn,val,precision,0.9746835443037974
calibrated_nn,val,recall,0.8555555555555555
calibrated_nn,val,ece,0.015527871109545236
calibrated_nn,test,log_loss,0.1011056713951845
calibrated_nn,test,brier,0.02713327587592281
calibrated_nn,test,f1,0.8935366228744672
calibrated_nn,test,precision,0.9688423058599333
calibrated_nn,test,recall,0.8290932811480757
calibrated_nn,test,ece,0.011113577855416501
gbdt,train,log_loss,0.021971458410852393
gbdt,train,brier,0.005541772908820476
gbdt,train,f1,0.9804804804804805
gbdt,train,precision,0.9883955600403632
gbdt,train,recall,0.9726911618669315
gbdt,train,ece,0.006646766492646252
gbdt,val,log_loss,0.03036838730578685
gbdt,val,brier,0.008451820506436636
gbdt,val,f1,0.9717514124293786
gbdt,val,precision,0.9885057471264368
gbdt,val,recall,0.9555555555555556
gbdt,val,ece,0.005379431417260134
gbdt,test,log_loss,0.02209446510391073
gbdt,test,brier,0.005584402224383821
gbdt,test,f1,0.980353473078504
gbdt,test,precision,0.9883971490137576
gbdt,test,recall,0.9724396607958252
gbdt,test,ece,0.0066000563644808
calibrated_gbdt,train,log_loss,0.019816834641254367
calibrated_gbdt,train,brier,0.005244145926512132
calibrated_gbdt,train,f1,0.9813029749044374
calibrated_gbdt,train,precision,0.9853971962616822
calibrated_gbdt,train,recall,0.9772426348891096
calibrated_gbdt,train,ece,0.005683956310217035
calibrated_gbdt,val,log_loss,0.02900875837911864
calibrated_gbdt,val,brier,0.007992296565679126
calibrated_gbdt,val,f1,0.9775280898876404
calibrated_gbdt,val,precision,0.9886363636363636
calibrated_gbdt,val,recall,0.9666666666666667
calibrated_gbdt,val,ece,0.007018192432803487
calibrated_gbdt,test,log_loss,0.01995148722149966
calibrated_gbdt,test,brier,0.005284403611956393
calibrated_gbdt,test,f1,0.9812479528332787
calibrated_gbdt,test,precision,0.9854440789473684
calibrated_gbdt,test,recall,0.9770874103065884
calibrated_gbdt,test,ece,0.00569139305533223
