method_label,width,precision_prior,ess
mcmc,10,0.01,2.305960051038015
mcmc,10,0.01,1.1058760364044513
mcmc,10,0.01,1.6363949294368536
mcmc,10,0.01,1.1340024617557949
mcmc,10,0.01,2.242327698110954
mcmc,10,0.01,7.509019721834049
mcmc,10,0.01,1.3625792069831935
mcmc,10,0.01,1.202464765247452
mcmc,10,0.01,1.136504487133786
mcmc,10,0.01,2.426232464134782
mcmc,10,0.01,1.0522999471013688
mcmc,10,0.01,1.079609275652059
mcmc,10,0.01,6.772301543968422
mcmc,10,0.01,1.051552791894771
mcmc,10,0.01,2.1382222232792656
mcmc,10,0.01,1.088599611765174
mcmc,10,0.01,6.854032377661769
mcmc,10,0.01,1.2748970373019062
mcmc,10,0.01,1.0162631066255372
mcmc,10,0.01,4.812987158921454
mcmc,10,0.01,1.0656169755028475
mcmc,10,0.01,1.0897928526574425
mcmc,10,0.01,1.1363304223429653
mcmc,10,0.01,2.4284865939445806
mcmc,10,0.01,3.883564344850036
mcmc,10,0.01,1.4215135112356883
mcmc,10,0.01,1.365067339068367
mcmc,10,0.01,1.057040125638196
mcmc,10,0.01,1.0317486357201155
mcmc,10,0.01,1.039781443634977
mcmc,10,0.01,1.0497566187835408
mcmc,10,0.01,1.0628929091953496
mcmc,10,0.01,1.0624605645359897
mcmc,10,0.01,1.2140055446962663
mcmc,10,0.01,2.1800369304026868
mcmc,10,0.01,1.3614266415720617
mcmc,10,0.01,9.639945190967607
mcmc,10,0.01,1.0451522008052212
mcmc,10,0.01,1.153950833551788
mcmc,10,0.01,1.0818825746438323
mcmc,10,0.01,1.0242981421226391
mcmc,10,0.01,2.379561745804196
mcmc,10,0.01,1.1620182369362564
mcmc,10,0.01,1.207646242594286
mcmc,10,0.01,5.618905257884973
mcmc,10,0.01,1.3633306584909664
mcmc,10,0.01,1.1248836492202732
mcmc,10,0.01,1.0913322920374338
mcmc,10,0.01,1.0843405876118644
mcmc,10,0.01,7.019778598219688
mcmc,10,0.01,76.12630500933115
mcmc,10,0.01,8.577954864211783
mcmc,10,0.01,2.342812344368639
mcmc,10,0.01,2.1160969042301176
mcmc,10,0.01,4.339317981899986
mcmc,10,0.01,18.960826169416617
mcmc,10,0.01,18.366325626828672
mcmc,10,0.01,6.425049779463676
mcmc,10,0.01,2.123057409866763
mcmc,10,0.01,3.038945119414882
mcmc,10,0.01,1.5855440943650405
mcmc,10,0.01,1.1386675119225944
mcmc,10,0.01,1.0789654137892557
mcmc,10,0.01,1.3382211629674405
mcmc,10,0.01,1.2955050746070254
mcmc,10,0.01,3.611052483561592
mcmc,10,0.01,1.3371303804263497
mcmc,10,0.01,1.4311869736263456
mcmc,10,0.01,32.053083761304215
mcmc,10,0.01,1.0959933210773367
mcmc,10,0.01,1.0618328071838237
mcmc,10,0.01,1.2221208565246644
mcmc,10,0.01,1.0903682716600227
mcmc,10,0.01,15.486087984267444
mcmc,10,0.01,3.1686340107661177
mcmc,10,0.01,1.7795373283376725
mcmc,10,0.01,3.8053730133502044
mcmc,10,0.01,1.7997082584446125
mcmc,10,0.01,1.1432789559631347
mcmc,10,0.01,1.925881027795317
mcmc,10,0.01,3.801325051932752
mcmc,10,0.01,3.5062675473598395
mcmc,10,0.01,1.0477234717924464
mcmc,10,0.01,1.2524216157905768
mcmc,10,0.01,1.2069308513513644
mcmc,10,0.01,4.548047541412492
mcmc,10,0.01,1.418920558752145
mcmc,10,0.01,1.166811628146804
mcmc,10,0.01,2.1923421000817584
mcmc,10,0.01,1.2713371798209439
mcmc,10,0.01,1.2265445844267127
mcmc,10,0.01,1.1365761817260946
mcmc,10,0.01,1.4465379795735773
mcmc,10,0.01,15.311764036554433
mcmc,10,0.01,1.827320661685942
mcmc,10,0.01,6.95371299079424
mcmc,10,0.01,11.705305770229613
mcmc,10,0.01,27.309923954095787
mcmc,10,0.01,15.491843134327326
