feature,mean_importance,std_importance
smean,0.025120327861004665,0.0007570895425533753
proto_udp,0.022782730547868325,0.0010314896548481456
sbytes,0.012296478521618304,0.000753383170316911
sload,0.006365478252930379,0.0004083926675955325
ct_srv_src,0.005313176934095209,0.0007852484463780469
ct_dst_src_ltm,0.004427661248131221,0.0016577199047598512
ct_srv_dst,0.003752224930978887,0.002156465352057383
proto_other,0.0026000154807606867,0.000775097255986802
service_rare,0.0025662337574751002,0.0006586342199621798
dur,0.002319366781314991,0.0002815521210664401
sttl,0.0019052497693693659,0.0005077444231694887
sinpkt,0.0016437257829227559,0.0002554426034296637
service_dns,0.0004813806301825263,0.00016644637089523239
ct_dst_sport_ltm,0.0004150486262920916,0.00018215908995206304
service_other,0.00032273626264573975,0.0001930698640032399
response_body_len,0.0002778251187606884,8.78596045439221e-05
proto_unas,0.000251031672417712,0.0001828467643863323
state_con,0.00015494905471378218,9.06254943354747e-05
dbytes,0.00014741855866536868,0.0005795021946526321
service_http,8.243829732470508e-05,0.00023442902558905242
dwin_rare,0.0,0.0
swin_rare,0.0,0.0
ct_ftp_cmd,0.0,0.0
state_other,-1.7941695951617655e-05,5.382508785485296e-05
is_sm_ips_ports,-6.910659250036755e-05,0.00014835694932462722
proto_arp,-0.00011761770550096084,0.0002224472231486467
ct_state_ttl,-0.00020660877482433503,0.0012141682554024336
state_fin,-0.00025852207788568116,0.00012875598729590715
ct_src_ltm,-0.00026588607258858364,0.00021747327704074157
ct_src_dport_ltm,-0.0003723276247146634,0.00041303190463854356
dwin_255,-0.0003948280140978255,0.0001343447280716766
dload,-0.0006812162865807326,0.000545212746611748
dtcpb,-0.0009135850167424798,0.00019072203406911374
synack,-0.0010483851497179119,0.0003950356322058865
dwin_0,-0.0011135345334310487,0.00017618654444523314
stcpb,-0.0013192278185558792,0.00021848612878691418
dinpkt,-0.0013775265592290364,0.0003773153282720822
ct_dst_ltm,-0.0014504547324235117,0.0004049337267348468
state_int,-0.0015331507170999958,0.0004228337297927758
swin_255,-0.002016222802717971,0.0003497412560176633
swin_0,-0.0021321214699474454,0.00032450037188311856
dttl,-0.00253653073758463,0.0010414492810037262
proto_tcp,-0.0028350003766318575,0.00044755526202237806
