method,width,precision_prior,rhat
mcmc,10,0.01,1.5116655826568604
mcmc,10,0.01,2.958986520767212
mcmc,10,0.01,1.8266457319259644
mcmc,10,0.01,3.2424890995025635
mcmc,10,0.01,1.3468173742294312
mcmc,10,0.01,1.3162753582000732
mcmc,10,0.01,1.884756088256836
mcmc,10,0.01,3.663576126098633
mcmc,10,0.01,2.9436769485473633
mcmc,10,0.01,1.4135684967041016
mcmc,10,0.01,4.4264960289001465
mcmc,10,0.01,4.621918201446533
mcmc,10,0.01,1.155806064605713
mcmc,10,0.01,4.732674598693848
mcmc,10,0.01,2.3858466148376465
mcmc,10,0.01,3.6790478229522705
mcmc,10,0.01,1.751136064529419
mcmc,10,0.01,3.919060707092285
mcmc,10,0.01,7.803463935852051
mcmc,10,0.01,2.511352062225342
mcmc,10,0.01,3.9669950008392334
mcmc,10,0.01,4.740796089172363
mcmc,10,0.01,3.430896759033203
mcmc,10,0.01,1.960922360420227
mcmc,10,0.01,1.2098331451416016
mcmc,10,0.01,2.913729667663574
mcmc,10,0.01,3.221860885620117
mcmc,10,0.01,4.234277248382568
mcmc,10,0.01,5.310014724731445
mcmc,10,0.01,5.781763553619385
mcmc,10,0.01,4.353054046630859
mcmc,10,0.01,4.542428016662598
mcmc,10,0.01,4.734084129333496
mcmc,10,0.01,2.4080145359039307
mcmc,10,0.01,2.2749128341674805
mcmc,10,0.01,1.8829537630081177
mcmc,10,0.01,1.2369458675384521
mcmc,10,0.01,4.557750225067139
mcmc,10,0.01,3.500044345855713
mcmc,10,0.01,3.7631874084472656
mcmc,10,0.01,6.233982563018799
mcmc,10,0.01,3.138796091079712
mcmc,10,0.01,3.1642069816589355
mcmc,10,0.01,2.614800214767456
mcmc,10,0.01,1.906124472618103
mcmc,10,0.01,2.350064516067505
mcmc,10,0.01,2.8885810375213623
mcmc,10,0.01,3.161684274673462
mcmc,10,0.01,3.250659465789795
mcmc,10,0.01,1.2908884286880493
mcmc,10,0.01,1.026902198791504
mcmc,10,0.01,1.4520233869552612
mcmc,10,0.01,1.6107888221740723
mcmc,10,0.01,1.3593729734420776
mcmc,10,0.01,1.5062017440795898
mcmc,10,0.01,1.0978635549545288
mcmc,10,0.01,1.2351257801055908
mcmc,10,0.01,1.3166632652282715
mcmc,10,0.01,1.3376108407974243
mcmc,10,0.01,1.3192038536071777
mcmc,10,0.01,1.5688438415527344
mcmc,10,0.01,3.492058038711548
mcmc,10,0.01,3.3944191932678223
mcmc,10,0.01,2.6121861934661865
mcmc,10,0.01,2.018813133239746
mcmc,10,0.01,1.3488484621047974
mcmc,10,0.01,2.119982957839966
mcmc,10,0.01,2.2907862663269043
mcmc,10,0.01,1.183445930480957
mcmc,10,0.01,3.459010124206543
mcmc,10,0.01,4.2391204833984375
mcmc,10,0.01,2.3428666591644287
mcmc,10,0.01,3.340581178665161
mcmc,10,0.01,1.2198777198791504
mcmc,10,0.01,1.489676833152771
mcmc,10,0.01,1.984151840209961
mcmc,10,0.01,1.4342834949493408
mcmc,10,0.01,1.7905528545379639
mcmc,10,0.01,3.0586485862731934
mcmc,10,0.01,1.6547772884368896
mcmc,10,0.01,1.4686740636825562
mcmc,10,0.01,1.374261498451233
mcmc,10,0.01,4.70547342300415
mcmc,10,0.01,2.447767496109009
mcmc,10,0.01,2.743885040283203
mcmc,10,0.01,1.354827880859375
mcmc,10,0.01,1.9007869958877563
mcmc,10,0.01,2.7847063541412354
mcmc,10,0.01,1.7060377597808838
mcmc,10,0.01,2.1377904415130615
mcmc,10,0.01,2.339179754257202
mcmc,10,0.01,3.2265071868896484
mcmc,10,0.01,1.7309849262237549
mcmc,10,0.01,1.1053835153579712
mcmc,10,0.01,1.9037458896636963
mcmc,10,0.01,1.1528000831604004
mcmc,10,0.01,1.0768884420394897
mcmc,10,0.01,1.0231544971466064
mcmc,10,0.01,1.2119641304016113
mcmc,10,0.01,1.179581880569458
mcmc,10,0.01,1.367578148841858
mcmc,10,0.01,1.2671900987625122
mcmc,10,0.01,4.55962610244751
mcmc,10,0.01,4.622527599334717
mcmc,10,0.01,1.4728924036026
mcmc,10,0.01,2.5566279888153076
mcmc,10,0.01,5.713347911834717
mcmc,10,0.01,2.401353120803833
mcmc,10,0.01,7.133979797363281
mcmc,10,0.01,1.4270234107971191
mcmc,10,0.01,4.671774387359619
mcmc,10,0.01,1.5218850374221802
mcmc,10,0.1,2.8285841941833496
mcmc,10,0.1,5.6125569343566895
mcmc,10,0.1,5.272942543029785
mcmc,10,0.1,1.7894279956817627
mcmc,10,0.1,1.4841374158859253
mcmc,10,0.1,3.908120632171631
mcmc,10,0.1,1.8363022804260254
mcmc,10,0.1,1.984493374824524
mcmc,10,0.1,1.598753571510315
mcmc,10,0.1,5.3456292152404785
mcmc,10,0.1,3.016556739807129
mcmc,10,0.1,8.371220588684082
mcmc,10,0.1,5.778418064117432
mcmc,10,0.1,6.740012168884277
mcmc,10,0.1,6.046512126922607
mcmc,10,0.1,2.3110122680664062
mcmc,10,0.1,1.263231873512268
mcmc,10,0.1,4.177160739898682
mcmc,10,0.1,9.267745971679688
mcmc,10,0.1,3.3777263164520264
mcmc,10,0.1,6.376997470855713
mcmc,10,0.1,3.714031219482422
mcmc,10,0.1,1.431583285331726
mcmc,10,0.1,7.4041242599487305
mcmc,10,0.1,4.460458278656006
mcmc,10,0.1,1.1041899919509888
mcmc,10,0.1,6.022739410400391
mcmc,10,0.1,1.1968061923980713
mcmc,10,0.1,3.790757179260254
mcmc,10,0.1,5.53267765045166
mcmc,10,0.1,1.3464959859848022
mcmc,10,0.1,5.655375003814697
mcmc,10,0.1,5.165251731872559
mcmc,10,0.1,7.404398441314697
mcmc,10,0.1,3.1243937015533447
mcmc,10,0.1,1.089017629623413
mcmc,10,0.1,1.2485026121139526
mcmc,10,0.1,7.329566478729248
mcmc,10,0.1,3.495323896408081
mcmc,10,0.1,1.5538779497146606
mcmc,10,0.1,2.171823024749756
mcmc,10,0.1,3.1895389556884766
mcmc,10,0.1,2.065263509750366
mcmc,10,0.1,4.271767616271973
mcmc,10,0.1,1.1203428506851196
mcmc,10,0.1,3.52465558052063
mcmc,10,0.1,2.2264013290405273
mcmc,10,0.1,3.1552915573120117
mcmc,10,0.1,1.6518843173980713
mcmc,10,0.1,4.1755547523498535
mcmc,10,0.1,4.5107340812683105
mcmc,10,0.1,2.8484647274017334
mcmc,10,0.1,1.166213035583496
mcmc,10,0.1,3.9600179195404053
mcmc,10,0.1,4.112929821014404
mcmc,10,0.1,1.0418367385864258
mcmc,10,0.1,2.848148822784424
mcmc,10,0.1,1.887625813484192
mcmc,10,0.1,1.2175967693328857
mcmc,10,0.1,2.4019923210144043
mcmc,10,0.1,1.565146565437317
mcmc,10,0.1,1.2372432947158813
mcmc,10,0.1,2.7729785442352295
mcmc,10,0.1,4.820155143737793
mcmc,10,0.1,2.177245855331421
mcmc,10,0.1,1.8601224422454834
mcmc,10,0.1,4.182905673980713
mcmc,10,0.1,3.85833740234375
mcmc,10,0.1,2.7729122638702393
mcmc,10,0.1,3.2822694778442383
mcmc,10,0.1,2.3516671657562256
